"
Менеджер по работе с операторами связи/Channel Account Manag","Мы ищем опытного Менеджера по сопровождению партнеров-операторов для развития нашей передовой CPaaS-платформы на рынке Центральной Азии."
"
Product Analyst","Product Analyst в чешскую геймдев-компанию."
"
Менеджер холодных продаж B2B","IT компания, занимающаяся разработкой CRM системы для образовательных учреждений, находится в поиске активного менеджера по продажам в команду"
"
Менеджер по продажам в IT компанию","IT компания, занимающаяся разработкой CRM системы для образовательных учреждений, ищет в свою команду опытного менеджера по продажам"
"
Инженер технической поддержки","ТОО «Центр технической компетенции DEMEU» - это команда профессионалов с большим опытом работы по поставкам, обслуживанию и ремонту оборудования IT."
"
Senior Java Developer","We are searching for a talented Senior Java web developer who is interested in working with cutting-edge advertising technologies (adtech)."
"
HR- generalist в стартап TrustMe","TrustMe - экосистема доверия, специализирующаяся на разработке IT платформы для реализации своей Миссии: ""Делать мир лучше, с помощью технологий и инноваций"""
"
Fullstack developer (Next.js/React/Prisma ORM)","Fullstack Developer (Next.js)
Requirements: Experience with Next.js, API, NoSQL/SQL
Responsibilities: Development and optimization of web applications"
"
Менеджер по продажам IT оборудования","Менеджер по продажам IT оборудований"
"
Главный менеджер исполнительного офиса (HR-generalist)","Международный технопарк IT стартапов Astana Hub в поиске главного менеджера в исполнительный офис (HR-generalist)."
"
Менеджер по работе с клиентами","Ищем активного менеджера службы поддержки, готового обучаться и помогать людям!"
"
Проектный менеджер (стажировка) IT","IT Incubator приглашает начинающих проектных менеджеров на учебные проекты"
"
Консультант/Senior Data Consultant","Мы ищем консультанта по внедрению Qlik для работы с текущими ключевыми клиентами над проектами в области монетизации данных и регуляторной отчетности"
"
Marketing Operations Manager","Мы ищем операционного менеджера маркетинговых активностей компании."
"
Консультант внедрения BI","Ищем консультантов проектов внедрения BI для работы с ключевыми клиентами над рядом проектов в области анализа данных закупок."
"
UX-Аналитик","Международный технопарк IT-стартапов Astana Hub в поисках UX-аналитика в офис IT-продуктов."
"
Менеджер по работе с клиентами","WE Media в поисках менеджера по работе с клиентами"
